Name;Year;Origin;Group;A;VA;TA;FA;pH;TPR;TPS;V;PC;ACR;ACS;ACC;CI;CI2;H;I;CA;VPC
w31;1987;Ribera;R87;12.4;0.6;5.2;4.5;3.5;2000;29.2;756;2298;289;199;160;5.13;5.74;0.608;24.9;0.386;0.33
w32;1987;Ribera;R87;12.7;0.5;5.1;4.5;3.6;1444;23.9;606;2086;232;166;115;4.45;4.93;0.606;24.1;0.41;0.29
w33;1987;Ribera;R87;12.6;0.35;5.1;4.7;3.6;1706;27.8;652;2509;300;205;163;4.23;4.62;0.584;22.8;0.38;0.26
w34;1987;Ribera;R87;11.2;0.35;4.8;4.3;3.6;1515;20;528;1910;258;168;136;3.98;4.34;0.555;22.1;0.429;0.28
w35;1986;Toro;T86;13;1.6;6.8;4.8;3.8;2153;38.4;716;2547;166;122;44;5.34;6.06;0.774;14.7;0.67;0.28
w36;1986;Toro;T86;14;0.4;4.4;3.9;3.4;2481;44.3;1313;3392;288;197;146;5.76;6.64;0.93;16.7;0.559;0.39
w37;1986;Toro;T86;13.2;0.55;4.7;4;3.6;1665;38;834;2956;206;204;82;5.15;5.85;0.79;14.2;0.554;0.28
w38;1986;Toro;T86;13.4;1.1;4.9;3.5;3.6;3152;56.2;1561;5082;244;174;90;7.91;9.12;0.746;21.2;0.629;0.31
w39;1986;Toro;T86;13.2;0.65;4.9;4.1;3.6;3109;54.2;1355;4536;280;189;115;7.88;9.3;0.828;16.1;0.624;0.3
w40;1986;Toro;T86;13.9;0.8;4.6;3.6;3.7;1975;33.9;544;2390;254;182;113;4.42;5.02;0.819;18.6;0.444;0.23
w41;1987;Toro;T87;14;0.6;4.1;3.4;3.4;2334;47.3;1210;3422;354;253;183;6.58;7.74;0.79;17.2;0.501;0.35
w42;1987;Toro;T87;13.9;0.3;4.7;4.3;3.6;1915;39.8;1128;2970;229;188;89;5;5.67;0.72;18.3;0.445;0.38
w43;1987;Toro;T87;12.1;0.7;5.5;4.6;3.4;2171;35.9;1177;3313;280;202;130;6.04;6.81;0.659;26.4;0.397;0.36
w44;1987;Toro;T87;13.9;0.4;3.8;3.3;3.9;2668;47.1;1270;2922;345;268;148;7.07;8.37;0.861;12.9;0.525;0.43
w45;1987;Toro;T87;12.3;0.65;4.8;4;3.6;3071;51.6;1496;4600;388;267;180;7.01;8.26;0.854;23;0.432;0.33
